NavDate,FundName,ISIN,"NavValue (in €)","IndexValue (in €)","DividendValue (in €)"
07/11/1989,"Carmignac Patrimoine",FR0010135103,76.55,99.38,
08/11/1989,"Carmignac Patrimoine",FR0010135103,76.58,99.69,
10/11/1989,"Carmignac Patrimoine",FR0010135103,76.64,100.35,
13/11/1989,"Carmignac Patrimoine",FR0010135103,76.66,100.32,
14/11/1989,"Carmignac Patrimoine",FR0010135103,76.68,99.99,
15/11/1989,"Carmignac Patrimoine",FR0010135103,76.71,99.98,
16/11/1989,"Carmignac Patrimoine",FR0010135103,76.73,99.93,
17/11/1989,"Carmignac Patrimoine",FR0010135103,76.77,99.75,
20/11/1989,"Carmignac Patrimoine",FR0010135103,76.79,99.61,
21/11/1989,"Carmignac Patrimoine",FR0010135103,76.81,99.38,
22/11/1989,"Carmignac Patrimoine",FR0010135103,76.84,99.5,
23/11/1989,"Carmignac Patrimoine",FR0010135103,76.88,99.54,
24/11/1989,"Carmignac Patrimoine",FR0010135103,76.9,99.68,
27/11/1989,"Carmignac Patrimoine",FR0010135103,76.84,99.67,
28/11/1989,"Carmignac Patrimoine",FR0010135103,76.98,99.58,
29/11/1989,"Carmignac Patrimoine",FR0010135103,77.03,99.61,
30/11/1989,"Carmignac Patrimoine",FR0010135103,77.05,99.79,
01/12/1989,"Carmignac Patrimoine",FR0010135103,77.13,100.12,
04/12/1989,"Carmignac Patrimoine",FR0010135103,77.07,100.13,
05/12/1989,"Carmignac Patrimoine",FR0010135103,77.04,99.99,
06/12/1989,"Carmignac Patrimoine",FR0010135103,77.2,99.84,
07/12/1989,"Carmignac Patrimoine",FR0010135103,77.25,99.92,
08/12/1989,"Carmignac Patrimoine",FR0010135103,77.41,99.66,
11/12/1989,"Carmignac Patrimoine",FR0010135103,77.7,99.54,
12/12/1989,"Carmignac Patrimoine",FR0010135103,77.83,98.84,
13/12/1989,"Carmignac Patrimoine",FR0010135103,77.88,99.17,
15/12/1989,"Carmignac Patrimoine",FR0010135103,77.87,98.21,
18/12/1989,"Carmignac Patrimoine",FR0010135103,77.56,98.1,
19/12/1989,"Carmignac Patrimoine",FR0010135103,77.92,97.96,
20/12/1989,"Carmignac Patrimoine",FR0010135103,77.9,98.06,
21/12/1989,"Carmignac Patrimoine",FR0010135103,78.22,97.6,
25/12/1989,"Carmignac Patrimoine",FR0010135103,78.14,97.18,
26/12/1989,"Carmignac Patrimoine",FR0010135103,78.39,97.36,
27/12/1989,"Carmignac Patrimoine",FR0010135103,78.59,97.43,
28/12/1989,"Carmignac Patrimoine",FR0010135103,78.47,97.19,
29/12/1989,"Carmignac Patrimoine",FR0010135103,78.65,96.11859706,
03/01/1990,"Carmignac Patrimoine",FR0010135103,78.96,98.17,
04/01/1990,"Carmignac Patrimoine",FR0010135103,79.4,97.21,
05/01/1990,"Carmignac Patrimoine",FR0010135103,79.3,96.46,
08/01/1990,"Carmignac Patrimoine",FR0010135103,79.4,96.32,
09/01/1990,"Carmignac Patrimoine",FR0010135103,79.33,96.17,
10/01/1990,"Carmignac Patrimoine",FR0010135103,79.23,95.78,
11/01/1990,"Carmignac Patrimoine",FR0010135103,79.31,95.95,
12/01/1990,"Carmignac Patrimoine",FR0010135103,79.67,95.19,
15/01/1990,"Carmignac Patrimoine",FR0010135103,79.36,95.18,
16/01/1990,"Carmignac Patrimoine",FR0010135103,79.7,94.62,
17/01/1990,"Carmignac Patrimoine",FR0010135103,79.68,94.3,
18/01/1990,"Carmignac Patrimoine",FR0010135103,79.8,94.43,
19/01/1990,"Carmignac Patrimoine",FR0010135103,79.98,94.36,
22/01/1990,"Carmignac Patrimoine",FR0010135103,80.47,94.36,
23/01/1990,"Carmignac Patrimoine",FR0010135103,80.07,93.65,
24/01/1990,"Carmignac Patrimoine",FR0010135103,79.37,93.13,
25/01/1990,"Carmignac Patrimoine",FR0010135103,79.04,93.12,
26/01/1990,"Carmignac Patrimoine",FR0010135103,79.1,93.28,
29/01/1990,"Carmignac Patrimoine",FR0010135103,79.1,93.25,
30/01/1990,"Carmignac Patrimoine",FR0010135103,79.4,93.14,
31/01/1990,"Carmignac Patrimoine",FR0010135103,79.56,93.32,
01/02/1990,"Carmignac Patrimoine",FR0010135103,79.94,93.28,
02/02/1990,"Carmignac Patrimoine",FR0010135103,80.22,93.38,
05/02/1990,"Carmignac Patrimoine",FR0010135103,80.45,93.24,
06/02/1990,"Carmignac Patrimoine",FR0010135103,80.85,93.08,
07/02/1990,"Carmignac Patrimoine",FR0010135103,80.69,92.85,
08/02/1990,"Carmignac Patrimoine",FR0010135103,80.97,93.22,
09/02/1990,"Carmignac Patrimoine",FR0010135103,81.19,92.86,
12/02/1990,"Carmignac Patrimoine",FR0010135103,81.06,92.75,
13/02/1990,"Carmignac Patrimoine",FR0010135103,80.65,92.8,
14/02/1990,"Carmignac Patrimoine",FR0010135103,80.69,92.73,
15/02/1990,"Carmignac Patrimoine",FR0010135103,81.1,93.27,
16/02/1990,"Carmignac Patrimoine",FR0010135103,81.82,92.95,
19/02/1990,"Carmignac Patrimoine",FR0010135103,82.1,92.83,
20/02/1990,"Carmignac Patrimoine",FR0010135103,82.04,92.19,
21/02/1990,"Carmignac Patrimoine",FR0010135103,81.58,91.2,
22/02/1990,"Carmignac Patrimoine",FR0010135103,81.95,91.14,
23/02/1990,"Carmignac Patrimoine",FR0010135103,81.35,90.16,
26/02/1990,"Carmignac Patrimoine",FR0010135103,80.93,89.98,
27/02/1990,"Carmignac Patrimoine",FR0010135103,80.95,90.32,
28/02/1990,"Carmignac Patrimoine",FR0010135103,81.12,90.99,
01/03/1990,"Carmignac Patrimoine",FR0010135103,81.64,90.99,
02/03/1990,"Carmignac Patrimoine",FR0010135103,82.33,90.91,
05/03/1990,"Carmignac Patrimoine",FR0010135103,82.17,90.72,
06/03/1990,"Carmignac Patrimoine",FR0010135103,82.17,90.76,
07/03/1990,"Carmignac Patrimoine",FR0010135103,82.55,90.6,
08/03/1990,"Carmignac Patrimoine",FR0010135103,82.62,90.79,
09/03/1990,"Carmignac Patrimoine",FR0010135103,82.86,90.42,
12/03/1990,"Carmignac Patrimoine",FR0010135103,83.05,90.32,
13/03/1990,"Carmignac Patrimoine",FR0010135103,83.36,89.92,
14/03/1990,"Carmignac Patrimoine",FR0010135103,83.69,89.65,
15/03/1990,"Carmignac Patrimoine",FR0010135103,84.18,89.44,
16/03/1990,"Carmignac Patrimoine",FR0010135103,84.04,88.92,
19/03/1990,"Carmignac Patrimoine",FR0010135103,83.82,88.62,
20/03/1990,"Carmignac Patrimoine",FR0010135103,84.04,88.41,
21/03/1990,"Carmignac Patrimoine",FR0010135103,83.97,88.36,
22/03/1990,"Carmignac Patrimoine",FR0010135103,83.98,87.4,
23/03/1990,"Carmignac Patrimoine",FR0010135103,83.71,88.4,
26/03/1990,"Carmignac Patrimoine",FR0010135103,83.79,88.59,
27/03/1990,"Carmignac Patrimoine",FR0010135103,83.63,88.62,
28/03/1990,"Carmignac Patrimoine",FR0010135103,83.56,88.15,
29/03/1990,"Carmignac Patrimoine",FR0010135103,83.49,87.95,
30/03/1990,"Carmignac Patrimoine",FR0010135103,83.68,86.5,
02/04/1990,"Carmignac Patrimoine",FR0010135103,83.46,86.15,
03/04/1990,"Carmignac Patrimoine",FR0010135103,83.6,86.89,
04/04/1990,"Carmignac Patrimoine",FR0010135103,83.72,86.71,
05/04/1990,"Carmignac Patrimoine",FR0010135103,83.92,86.91,
06/04/1990,"Carmignac Patrimoine",FR0010135103,84.13,87.53,
09/04/1990,"Carmignac Patrimoine",FR0010135103,83.87,87.66,
10/04/1990,"Carmignac Patrimoine",FR0010135103,83.96,87.13,
11/04/1990,"Carmignac Patrimoine",FR0010135103,83.73,86.81,
12/04/1990,"Carmignac Patrimoine",FR0010135103,84.24,86.92,
16/04/1990,"Carmignac Patrimoine",FR0010135103,84.12,86.5,
17/04/1990,"Carmignac Patrimoine",FR0010135103,84.45,86.51,
18/04/1990,"Carmignac Patrimoine",FR0010135103,83.97,86.5,
